"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-08370";"0.1uF";
"C2";"0.1uF";"0.1UF-KIT-EZ-50V-20%";"CAP-PTH-SMALL-KIT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-08370";"0.1uF";
"IC2";"LTC4357IMS8#TRPBF";"LTC4357IMS8#TRPBF";"SOP65P490X110-8N";"Hot Swap Controller 1-CH 80V N-Channel Positive High Voltage Automotive 8-Pin MSOP T/R";"LTC4357IMS8#TRPBF";"https://www.arrow.com/en/products/ltc4357ims8trpbf/analog-devices?region=nac";"Hot Swap Controller 1-CH 80V N-Channel Positive High Voltage Automotive 8-Pin MSOP T/R";"1.1mm";"Analog Devices";"LTC4357IMS8#TRPBF";"584-LTC4357IMS8TRPBF";"https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4357IMS8TRPBF?qs=hVkxg5c3xu9xOCu4lpdF5Q%3D%3D";"";"";
"IC3";"LTC4357IMS8#TRPBF";"LTC4357IMS8#TRPBF";"SOP65P490X110-8N";"Hot Swap Controller 1-CH 80V N-Channel Positive High Voltage Automotive 8-Pin MSOP T/R";"LTC4357IMS8#TRPBF";"https://www.arrow.com/en/products/ltc4357ims8trpbf/analog-devices?region=nac";"Hot Swap Controller 1-CH 80V N-Channel Positive High Voltage Automotive 8-Pin MSOP T/R";"1.1mm";"Analog Devices";"LTC4357IMS8#TRPBF";"584-LTC4357IMS8TRPBF";"https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4357IMS8TRPBF?qs=hVkxg5c3xu9xOCu4lpdF5Q%3D%3D";"";"";
"Q1";"RD3P08BBDTL";"RD3P08BBDTL";"RD3P175SNFRATL";"RD3P08BBDTL N-Channel MOSFET, 80 A, 100 V RD3P08BBD, 3-Pin DPAK ROHM";"";"";"RD3P08BBDTL N-Channel MOSFET, 80 A, 100 V RD3P08BBD, 3-Pin DPAK ROHM";"mm";"ROHM Semiconductor";"RD3P08BBDTL";"755-RD3P08BBDTL";"https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/RD3P08BBDTL?qs=qSfuJ%252Bfl%2Fd6NkJEicmek1A%3D%3D";"";"";
"Q2";"RD3P08BBDTL";"RD3P08BBDTL";"RD3P175SNFRATL";"RD3P08BBDTL N-Channel MOSFET, 80 A, 100 V RD3P08BBD, 3-Pin DPAK ROHM";"";"";"RD3P08BBDTL N-Channel MOSFET, 80 A, 100 V RD3P08BBD, 3-Pin DPAK ROHM";"mm";"ROHM Semiconductor";"RD3P08BBDTL";"755-RD3P08BBDTL";"https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/RD3P08BBDTL?qs=qSfuJ%252Bfl%2Fd6NkJEicmek1A%3D%3D";"";"";
"R1";"100";"100OHM-HORIZ-1/4W-1%";"AXIAL-0.3";"100Ω resistor";"";"";"";"";"";"";"";"";"RES-12181";"100";
"R2";"100";"100OHM-HORIZ-1/4W-1%";"AXIAL-0.3";"100Ω resistor";"";"";"";"";"";"";"";"";"RES-12181";"100";
"S1";"A8L-21-12N2";"A8L-21-12N2";"A8L2112N2";"Rocker Switches ROCKER SWITCH";"";"";"Rocker Switches ROCKER SWITCH";"22.1mm";"Omron Electronics";"A8L-21-12N2";"653-A8L-21-12N2";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/A8L-21-12N2?qs=wE98CiVmOw76dmZWfHCJ3A%3D%3D";"";"";
