Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_Small","C_0402_1005Metric",61.400000,-61.700000,-90.000000,top
"C2","C_Small","C_0402_1005Metric",58.400000,-61.700000,-90.000000,top
"D1","LED","LED_0402_1005Metric",60.400000,-61.700000,90.000000,top
"J1","Conn_01x04","PinHeader_1x04_P1.27mm_Vertical",51.200000,-58.090000,0.000000,top
"J3","AVR-ISP-6","PinHeader_1x06_P1.00mm_Vertical",51.200000,-56.200000,90.000000,top
"JP1","JPR2","R_0402_1005Metric",58.700000,-56.100000,90.000000,top
"JP2","JPR2","R_0402_1005Metric",59.900000,-56.100000,90.000000,top
"R1","R_US","R_0402_1005Metric",59.400000,-61.700000,-90.000000,top
"U2","ISM330DHCX","LGA-14L",60.200000,-59.000000,90.000000,top
"U3","ATmega168A-MM","QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm",55.150000,-59.700000,-90.000000,top
