,Boards:,3,,,,,,
,,,,,,,,
#,Reference,Qty,Value,Footprint,DNP,CatNo,MfgNo,OrderQty
1,C1,1,10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1276-1096-1-ND,CL21A106KOQNNNE,3
2,C2,1,22uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1276-6526-1-ND,CL21A226KOQNNNE,3
3,"D1, D2",2,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,350-5973006607FCT-ND,5973006607F,6
4,"J1, J2, J3, J4, J5, J6",6,4P4C,my_RJ:A-2004-3-4-LP,,AE10381-ND,A-2004-3-4-LP-N-R,18
5,J7,1,SHF-113-01-L-D-SM,models:SAMTEC_SHF-113-01-L-D-RA,,SAM10712-ND,SHF-113-01-L-D-SM,3
6,J8,1,Conn_01x04,Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical,,SAM10242-ND,TMS-104-01-G-S,3
7,J9,1,Conn_01x05,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,,609-3462-ND,68000-105HLF,3
8,R1,1,1.5k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,311-1.50KCRCT-ND,RC0805FR-071K5L,3
9,R2,1,510,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,311-510CRCT-ND,RC0805FR-07510RL,3
10,U1,1,AZ1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,31-AZ1117CH2-3.3TRG1CT-ND,AZ1117CH2-3.3TRG1,3
11,RJ-J1,1,,,,AE10381-ND,A-2004-3-4-LP-N-R,3
12,RJ-J2,1,,,,SAM10717-ND,SLM-104-01-G-S,3
13,ISP-J1,1,,,,2057-PH2-06-UA-ND,PH2-06-UA,3
14,ISP-J2,1,,,,2073-BC020-06-A-0200-0300-L-D-ND,BC020-06-A-0200-0300-L-D,3
,,,,,,,,0
,,,,,,,,0
